,eu,us
2025-04-09 05:21:00+00:00,,
2025-04-09 05:26:00+00:00,,
2025-04-09 05:31:00+00:00,,
2025-04-09 05:36:00+00:00,,
2025-04-09 05:41:00+00:00,,
2025-04-09 05:46:00+00:00,,
2025-04-09 05:51:00+00:00,,
2025-04-09 05:56:00+00:00,,
2025-04-09 06:01:00+00:00,,
2025-04-09 06:06:00+00:00,,
2025-04-09 06:11:00+00:00,,
2025-04-09 06:16:00+00:00,,
2025-04-09 06:21:00+00:00,,
2025-04-09 06:26:00+00:00,,
2025-04-09 06:31:00+00:00,,
2025-04-09 06:36:00+00:00,,
2025-04-09 06:41:00+00:00,,
2025-04-09 06:46:00+00:00,,
2025-04-09 06:51:00+00:00,,
2025-04-09 06:56:00+00:00,,
2025-04-09 07:01:00+00:00,218.1999969482422,
2025-04-09 07:06:00+00:00,218.39999389648438,
2025-04-09 07:11:00+00:00,219.5500030517578,
2025-04-09 07:16:00+00:00,218.85000610351562,
2025-04-09 07:21:00+00:00,218.60000610351562,
2025-04-09 07:26:00+00:00,219.3000030517578,
2025-04-09 07:31:00+00:00,220.64999389648438,
2025-04-09 07:36:00+00:00,221.5,
2025-04-09 07:41:00+00:00,221.5,
2025-04-09 07:46:00+00:00,220.89999389648438,
2025-04-09 07:51:00+00:00,220.0,
2025-04-09 07:56:00+00:00,220.10000610351562,
2025-04-09 08:01:00+00:00,219.0,
2025-04-09 08:06:00+00:00,217.8000030517578,
2025-04-09 08:11:00+00:00,217.5500030517578,
2025-04-09 08:16:00+00:00,217.39999389648438,
2025-04-09 08:21:00+00:00,217.9499969482422,
2025-04-09 08:26:00+00:00,216.89999389648438,
2025-04-09 08:31:00+00:00,216.8000030517578,
2025-04-09 08:36:00+00:00,217.1999969482422,
2025-04-09 08:41:00+00:00,217.6999969482422,
2025-04-09 08:46:00+00:00,217.25,
2025-04-09 08:51:00+00:00,217.39999389648438,
2025-04-09 08:56:00+00:00,218.1999969482422,
2025-04-09 09:01:00+00:00,217.5500030517578,
2025-04-09 09:06:00+00:00,217.85000610351562,
2025-04-09 09:11:00+00:00,218.25,
2025-04-09 09:16:00+00:00,218.1999969482422,
2025-04-09 09:21:00+00:00,218.0,
2025-04-09 09:26:00+00:00,217.8000030517578,
2025-04-09 09:31:00+00:00,217.8000030517578,
2025-04-09 09:36:00+00:00,217.35000610351562,
2025-04-09 09:41:00+00:00,216.85000610351562,
2025-04-09 09:46:00+00:00,216.85000610351562,
2025-04-09 09:51:00+00:00,216.5,
2025-04-09 09:56:00+00:00,216.1999969482422,
2025-04-09 10:01:00+00:00,216.5500030517578,
2025-04-09 10:06:00+00:00,216.75,
2025-04-09 10:11:00+00:00,216.9499969482422,
2025-04-09 10:16:00+00:00,216.60000610351562,
2025-04-09 10:21:00+00:00,216.5500030517578,
2025-04-09 10:26:00+00:00,216.85000610351562,
2025-04-09 10:31:00+00:00,217.0,
2025-04-09 10:36:00+00:00,217.0500030517578,
2025-04-09 10:41:00+00:00,217.5,
2025-04-09 10:46:00+00:00,217.89999389648438,
2025-04-09 10:51:00+00:00,218.5500030517578,
2025-04-09 10:56:00+00:00,217.35000610351562,
2025-04-09 11:01:00+00:00,214.3000030517578,
2025-04-09 11:06:00+00:00,214.75,
2025-04-09 11:11:00+00:00,215.85000610351562,
2025-04-09 11:16:00+00:00,215.4499969482422,
2025-04-09 11:21:00+00:00,215.14999389648438,
2025-04-09 11:26:00+00:00,215.8000030517578,
2025-04-09 11:31:00+00:00,214.8000030517578,
2025-04-09 11:36:00+00:00,214.1999969482422,
2025-04-09 11:41:00+00:00,213.60000610351562,
2025-04-09 11:46:00+00:00,215.5500030517578,
2025-04-09 11:51:00+00:00,215.0,
2025-04-09 11:56:00+00:00,214.64999389648438,
2025-04-09 12:01:00+00:00,214.5500030517578,
2025-04-09 12:06:00+00:00,214.0,
2025-04-09 12:11:00+00:00,214.60000610351562,
2025-04-09 12:16:00+00:00,213.9499969482422,
2025-04-09 12:21:00+00:00,213.60000610351562,
2025-04-09 12:26:00+00:00,213.10000610351562,
2025-04-09 12:31:00+00:00,213.6999969482422,
2025-04-09 12:36:00+00:00,213.6999969482422,
2025-04-09 12:41:00+00:00,214.64999389648438,
2025-04-09 12:46:00+00:00,215.10000610351562,
2025-04-09 12:51:00+00:00,215.85000610351562,
2025-04-09 12:56:00+00:00,215.64999389648438,
2025-04-09 13:01:00+00:00,216.1999969482422,
2025-04-09 13:06:00+00:00,216.35000610351562,
2025-04-09 13:11:00+00:00,215.9499969482422,
2025-04-09 13:16:00+00:00,216.25,
2025-04-09 13:21:00+00:00,215.35000610351562,
2025-04-09 13:26:00+00:00,215.4499969482422,
2025-04-09 13:31:00+00:00,216.89999389648438,239.85000610351562
2025-04-09 13:36:00+00:00,217.75,240.6300048828125
2025-04-09 13:41:00+00:00,217.3000030517578,240.22000122070312
2025-04-09 13:46:00+00:00,217.35000610351562,240.11000061035156
2025-04-09 13:51:00+00:00,218.3000030517578,240.89500427246094
2025-04-09 13:56:00+00:00,217.8000030517578,241.10000610351562
2025-04-09 14:01:00+00:00,218.9499969482422,241.63999938964844
2025-04-09 14:06:00+00:00,218.0500030517578,240.6300048828125
2025-04-09 14:11:00+00:00,217.6999969482422,240.27000427246094
2025-04-09 14:16:00+00:00,218.5500030517578,241.41000366210938
2025-04-09 14:21:00+00:00,218.35000610351562,241.0399932861328
2025-04-09 14:26:00+00:00,217.89999389648438,240.6199951171875
2025-04-09 14:31:00+00:00,218.14999389648438,241.0574951171875
2025-04-09 14:36:00+00:00,217.39999389648438,240.17999267578125
2025-04-09 14:41:00+00:00,216.89999389648438,239.38499450683594
2025-04-09 14:46:00+00:00,216.0500030517578,238.50999450683594
2025-04-09 14:51:00+00:00,214.89999389648438,237.22500610351562
2025-04-09 14:56:00+00:00,214.60000610351562,236.98500061035156
2025-04-09 15:01:00+00:00,215.35000610351562,237.80999755859375
2025-04-09 15:06:00+00:00,215.39999389648438,237.9600067138672
2025-04-09 15:11:00+00:00,214.9499969482422,237.63250732421875
2025-04-09 15:16:00+00:00,215.0,237.86000061035156
2025-04-09 15:21:00+00:00,215.1999969482422,237.8699951171875
2025-04-09 15:26:00+00:00,214.14999389648438,237.0449981689453
2025-04-09 15:31:00+00:00,214.14999389648438,237.25999450683594
2025-04-09 15:36:00+00:00,214.14999389648438,237.24000549316406
2025-04-09 15:41:00+00:00,214.14999389648438,236.77499389648438
2025-04-09 15:46:00+00:00,214.14999389648438,237.4949951171875
2025-04-09 15:51:00+00:00,214.14999389648438,237.28500366210938
2025-04-09 15:56:00+00:00,214.14999389648438,236.78500366210938
2025-04-09 16:01:00+00:00,214.14999389648438,236.44500732421875
2025-04-09 16:06:00+00:00,214.14999389648438,236.69320678710938
2025-04-09 16:11:00+00:00,214.14999389648438,237.77999877929688
2025-04-09 16:16:00+00:00,214.14999389648438,237.69500732421875
2025-04-09 16:21:00+00:00,214.14999389648438,237.6999969482422
2025-04-09 16:26:00+00:00,214.14999389648438,237.52999877929688
2025-04-09 16:31:00+00:00,214.14999389648438,237.85000610351562
2025-04-09 16:36:00+00:00,214.14999389648438,238.10000610351562
2025-04-09 16:41:00+00:00,214.14999389648438,237.95750427246094
2025-04-09 16:46:00+00:00,214.14999389648438,238.57000732421875
2025-04-09 16:51:00+00:00,214.14999389648438,239.22000122070312
2025-04-09 16:56:00+00:00,214.14999389648438,238.93499755859375
2025-04-09 17:01:00+00:00,214.14999389648438,240.53500366210938
2025-04-09 17:06:00+00:00,214.14999389648438,239.4199981689453
2025-04-09 17:11:00+00:00,214.14999389648438,239.11000061035156
2025-04-09 17:16:00+00:00,214.14999389648438,243.32000732421875
2025-04-09 17:21:00+00:00,214.14999389648438,248.0
2025-04-09 17:26:00+00:00,214.14999389648438,250.25
2025-04-09 17:31:00+00:00,214.14999389648438,253.2899932861328
2025-04-09 17:36:00+00:00,214.14999389648438,252.25
2025-04-09 17:41:00+00:00,214.14999389648438,253.42999267578125
2025-04-09 17:46:00+00:00,214.14999389648438,256.3800048828125
2025-04-09 17:51:00+00:00,214.14999389648438,255.30999755859375
2025-04-09 17:56:00+00:00,214.14999389648438,257.0
2025-04-09 18:01:00+00:00,214.14999389648438,256.9725036621094
2025-04-09 18:06:00+00:00,214.14999389648438,255.3800048828125
2025-04-09 18:11:00+00:00,214.14999389648438,255.4835968017578
2025-04-09 18:16:00+00:00,214.14999389648438,255.6699981689453
2025-04-09 18:21:00+00:00,214.14999389648438,256.3599853515625
2025-04-09 18:26:00+00:00,214.14999389648438,257.29998779296875
2025-04-09 18:31:00+00:00,214.14999389648438,256.8999938964844
2025-04-09 18:36:00+00:00,214.14999389648438,257.7950134277344
2025-04-09 18:41:00+00:00,214.14999389648438,255.30999755859375
2025-04-09 18:46:00+00:00,214.14999389648438,254.89500427246094
2025-04-09 18:51:00+00:00,214.14999389648438,254.72999572753906
2025-04-09 18:56:00+00:00,214.14999389648438,254.5399932861328
2025-04-09 19:01:00+00:00,214.14999389648438,255.41000366210938
2025-04-09 19:06:00+00:00,214.14999389648438,256.0400085449219
2025-04-09 19:11:00+00:00,214.14999389648438,257.510009765625
2025-04-09 19:16:00+00:00,214.14999389648438,258.1700134277344
2025-04-09 19:21:00+00:00,214.14999389648438,259.30999755859375
2025-04-09 19:26:00+00:00,214.14999389648438,259.3599853515625
2025-04-09 19:31:00+00:00,214.14999389648438,260.17999267578125
2025-04-09 19:36:00+00:00,214.14999389648438,260.3550109863281
2025-04-09 19:41:00+00:00,214.14999389648438,259.989990234375
2025-04-09 19:46:00+00:00,214.14999389648438,260.9949951171875
2025-04-09 19:51:00+00:00,214.14999389648438,260.802490234375
2025-04-09 19:56:00+00:00,214.14999389648438,259.69000244140625
2025-04-09 20:01:00+00:00,214.14999389648438,259.69000244140625
2025-04-09 20:06:00+00:00,214.14999389648438,259.69000244140625
2025-04-09 20:11:00+00:00,214.14999389648438,259.69000244140625
2025-04-09 20:16:00+00:00,214.14999389648438,259.69000244140625
2025-04-09 20:21:00+00:00,214.14999389648438,259.69000244140625
2025-04-09 20:26:00+00:00,214.14999389648438,259.69000244140625
2025-04-09 20:31:00+00:00,214.14999389648438,259.69000244140625
2025-04-09 20:36:00+00:00,214.14999389648438,259.69000244140625
2025-04-09 20:41:00+00:00,214.14999389648438,259.69000244140625
2025-04-09 20:46:00+00:00,214.14999389648438,259.69000244140625
2025-04-09 20:51:00+00:00,214.14999389648438,259.69000244140625
2025-04-09 20:56:00+00:00,214.14999389648438,259.69000244140625
2025-04-09 21:01:00+00:00,214.14999389648438,259.69000244140625
2025-04-09 21:06:00+00:00,214.14999389648438,259.69000244140625
2025-04-09 21:11:00+00:00,214.14999389648438,259.69000244140625
2025-04-09 21:16:00+00:00,214.14999389648438,259.69000244140625
2025-04-09 21:21:00+00:00,214.14999389648438,259.69000244140625
2025-04-09 21:26:00+00:00,214.14999389648438,259.69000244140625
2025-04-09 21:31:00+00:00,214.14999389648438,259.69000244140625
2025-04-09 21:36:00+00:00,214.14999389648438,259.69000244140625
2025-04-09 21:41:00+00:00,214.14999389648438,259.69000244140625
2025-04-09 21:46:00+00:00,214.14999389648438,259.69000244140625
2025-04-09 21:51:00+00:00,214.14999389648438,259.69000244140625
2025-04-09 21:56:00+00:00,214.14999389648438,259.69000244140625
2025-04-09 22:01:00+00:00,214.14999389648438,259.69000244140625
2025-04-09 22:06:00+00:00,214.14999389648438,259.69000244140625
2025-04-09 22:11:00+00:00,214.14999389648438,259.69000244140625
2025-04-09 22:16:00+00:00,214.14999389648438,259.69000244140625
2025-04-09 22:21:00+00:00,214.14999389648438,259.69000244140625
2025-04-09 22:26:00+00:00,214.14999389648438,259.69000244140625
2025-04-09 22:31:00+00:00,214.14999389648438,259.69000244140625
2025-04-09 22:36:00+00:00,214.14999389648438,259.69000244140625
2025-04-09 22:41:00+00:00,214.14999389648438,259.69000244140625
2025-04-09 22:46:00+00:00,214.14999389648438,259.69000244140625
2025-04-09 22:51:00+00:00,214.14999389648438,259.69000244140625
2025-04-09 22:56:00+00:00,214.14999389648438,259.69000244140625
2025-04-09 23:01:00+00:00,214.14999389648438,259.69000244140625
2025-04-09 23:06:00+00:00,214.14999389648438,259.69000244140625
2025-04-09 23:11:00+00:00,214.14999389648438,259.69000244140625
2025-04-09 23:16:00+00:00,214.14999389648438,259.69000244140625
2025-04-09 23:21:00+00:00,214.14999389648438,259.69000244140625
2025-04-09 23:26:00+00:00,214.14999389648438,259.69000244140625
2025-04-09 23:31:00+00:00,214.14999389648438,259.69000244140625
2025-04-09 23:36:00+00:00,214.14999389648438,259.69000244140625
2025-04-09 23:41:00+00:00,214.14999389648438,259.69000244140625
2025-04-09 23:46:00+00:00,214.14999389648438,259.69000244140625
2025-04-09 23:51:00+00:00,214.14999389648438,259.69000244140625
2025-04-09 23:56:00+00:00,214.14999389648438,259.69000244140625
